Il Bandolo: cm 104 x 104, Tec. Mista su tela, 2026;
Berlino-1961: cm  x , Tec. Mista, Agosto 2026;
Nel caos un filo di speranza: cm 104 x 54, Tecn. Mista su tela, Settembre 2026;
Silver Moon: cm 104 x 104, Tec. Mista su tela;
Blue Moon: cm 104 x 104, Tec. Mista su tela;
Confini Naturali: cm 104 x 104, Tec. Mista su tela;
Dripping: cm 104 x 104, Tec. Mista su tela;
Onda D'urto: cm 104 x 104, Tec. Mista su tela, Agosto 2026;
Red Moon: cm 100 x 100, Tec. Mista su tela;

Silence: cm 68 x 93, Tec. Mista su tela;

Acqua: cm 40 x 100, Tec. Mista su tela;
Aurora: cm 40 x 100, Tec. Mista su tela;
Autumn Leaf: cm 40 x 100, Tec. Mista su tela;

Summer: cm 43 x 72, Tec. Mista su tela;
Fertilità: cm 43 x 72, Tec. Mista su tela;

Terre Emerse: cm 148 x 50, Tec. Mista su tela;

Nel Caos un Filo di Speranza: cm 54 x 104, Tec. Mista su tela;

Abbraccio: cm 50 x 70, Tec. Mista su tela;
Il Danno: cm 50 x 70, Tec. Mista su tela;

Femme Révoltée: cm 60 x 90, Tec. Mista su tela;

Voiles: cm 50 x 70, Tec. Mista su tela;

Aria: cm 50 x 80, Tec. Mista su tela;

Eva: cm 50 x 70, Tec. Mista su tela;
Nudo di Schiena: cm 50 x 70, Tec. Mista su tela;

Medina: cm 100 x 70, Tec. Mista su tela;

Goldfish’s Memory: cm 47 x 47, Tec. Mista su tela;

Icaro: cm 50 x 40, Tec. Mista su tela;
Ballerine: cm 50 x 40, Tec. Mista su tela;
Baigneuse: cm 50 x 40, Tec. Mista su tela;
Ally: cm 50 x 40, Tec. Mista su tela;
Antinoo che Sogna Adriano: cm 50 x 40, Tec. Mista su tela;
Nudino di Schiena: cm 50 x 40, Tec. Mista su tela;
Arlecchino Triste 2: cm 50 x 40, Tec. Mista su tela;

L’Attesa: cm 30 x 40, Tec. Mista su tela;
Nudino Rosso di Schiena: cm 30 x 40, Tec. Mista su tela;

Antino: cm 60 x 49, Tec. Mista su tela;

Cliffs of Moher: 3 x (cm 30 x 40), Tec. Mista su tela;
